Datetime,Message,RequestType,RequestParameters,Status
Fri Oct 08 19:39:27 EDT 2021,Timeslot (9:30-10:00) has been booked | Booking ID: DVL:c3827abc-6685-4fee-812d-6678134970eb,CreateRoom,Identifier: dvls1234 | Room Number: 201 | Date: 01-01-2021 | Timeslot: 9:30-10:00,true
Fri Oct 08 19:39:35 EDT 2021,Unable to get server details from the central repository,,,false
Fri Oct 08 19:39:56 EDT 2021,Timeslot (10:30-11:00) has been booked | Booking ID: DVL:a5ccd5ac-fbfe-457b-b14e-ecba754c3a4e,CreateRoom,Identifier: dvls1234 | Room Number: 202 | Date: 02-01-2021 | Timeslot: 10:30-11:00,true
Fri Oct 08 19:40:09 EDT 2021,Timeslot (9:30-10:00) does not exist on (01-01-2021),CreateRoom,Identifier: dvls1234 | Room Number: 203 | Date: 01-01-2021 | Timeslot: 9:30-10:00,false
Fri Oct 08 19:40:23 EDT 2021,Timeslot (11:00-11:30) has been booked | Booking ID: DVL:d2fa639f-4784-4525-a4fa-393e26e0d477,CreateRoom,Identifier: dvls1234 | Room Number: 203 | Date: 03-01-2021 | Timeslot: 11:00-11:30,true
Fri Oct 08 19:40:39 EDT 2021,Unable to book room, maximum booking limit is reached,CreateRoom,Identifier: dvls1234 | Room Number: 204 | Date: 04-01-2021 | Timeslot: 11:30-12:00,false
Fri Oct 08 20:53:47 EDT 2021,Timeslot (10:00-10:30) has been booked | Booking ID: DVL:37aa0226-8f88-438f-a3e8-a428c2d68b65,CreateRoom,Identifier: dvls1234 | Room Number: 210 | Date: 01-01-2021 | Timeslot: 10:00-10:30,true
Fri Oct 08 20:53:58 EDT 2021,Cancelled booking (DVL:37aa0226-8f88-438f-a3e8-a428c2d68b65),CreateRoom,Booking Id: DVL:37aa0226-8f88-438f-a3e8-a428c2d68b65,true
Fri Oct 08 20:54:04 EDT 2021,DVL 3 KKL 1 WST 1,GetAvailableTimeslots,Date: 01-01-2021,true
Fri Oct 08 20:55:04 EDT 2021,Booking (KKL:04bb63a5-5fd8-479b-a78d-f5d50456a88f) is reserved to another student,CreateRoom,Booking Id: KKL:04bb63a5-5fd8-479b-a78d-f5d50456a88f,false
Fri Oct 08 20:59:10 EDT 2021,Booking (KKL:90f7e578-63fa-4d30-9b6b-3d7a77385a13) is reserved to another student,CreateRoom,Booking Id: KKL:90f7e578-63fa-4d30-9b6b-3d7a77385a13,false
Fri Oct 08 20:59:40 EDT 2021,Unable to connect to remote server,,,false
Fri Oct 08 21:00:09 EDT 2021,DVL 1 KKL 0 WST (no response from server),GetAvailableTimeslots,Date: 01-01-2021,true
Fri Oct 08 21:32:59 EDT 2021,DVL 1 KKL 1 WST 1,GetAvailableTimeslots,Date: 01-01-2021,true
Wed Oct 13 13:08:29 EDT 2021,DVL 1 KKL 1 WST 1,GetAvailableTimeslots,Date: 01-01-2021,true
