Datetime,Message,RequestType,RequestParameters,Status
Fri Oct 08 18:15:10 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 18:15:21 EDT 2021,1,GetAvailableTimeslots,Date: 01-01-2021,true
Fri Oct 08 18:32:03 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 18:32:03 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 18:32:03 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 18:32:03 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 18:32:03 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 18:32:15 EDT 2021,1,GetAvailableTimeslots,Date: 01-01-2021,true
Fri Oct 08 18:32:25 EDT 2021,0,CreateRoom,Identifier: dvls1234 | Date: 01-01-2021,true
Fri Oct 08 18:32:36 EDT 2021,0,CreateRoom,Identifier: dvls1234 | Date: 01-01-2021,true
Fri Oct 08 18:35:44 EDT 2021,0,CreateRoom,Identifier: dvls1234 | Date: 01-01-2021,true
Fri Oct 08 18:35:44 EDT 2021,Timeslot (9:30-10:00) has been booked | Booking ID: WST:0706f9cd-f0f7-43eb-af05-a50760bfb9ce,CreateRoom,Identifier: dvls1234 | Room Number: 201 | Date: 01-01-2021 | Timeslot: 9:30-10:00,true
Fri Oct 08 18:35:50 EDT 2021,Cancelled booking (WST:0706f9cd-f0f7-43eb-af05-a50760bfb9ce),CreateRoom,Booking Id: WST:0706f9cd-f0f7-43eb-af05-a50760bfb9ce,true
Fri Oct 08 18:37:48 EDT 2021,0,CreateRoom,Identifier: dvls1234 | Date: 01-01-2021,true
Fri Oct 08 18:38:35 EDT 2021,0,CreateRoom,Identifier: dvls1234 | Date: 02-01-2021,true
Fri Oct 08 18:39:45 EDT 2021,0,CreateRoom,Identifier: dvls1234 | Date: 03-01-2021,true
Fri Oct 08 19:03:34 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 19:03:34 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 19:03:34 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 19:03:34 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 19:03:34 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 19:03:50 EDT 2021,0,CreateRoom,Identifier: dvls1234 | Date: 01-01-2021,true
Fri Oct 08 20:30:36 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 20:30:36 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 20:30:36 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 20:30:36 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 20:30:36 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 20:51:39 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 20:51:39 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
Fri Oct 08 20:51:39 EDT 2021,Created room (203),CreateRoom,Room number: 203 | Date: 03-01-2021 | List of Timeslots: [11:00-11:30],true
Fri Oct 08 20:51:39 EDT 2021,Created room (204),CreateRoom,Room number: 204 | Date: 04-01-2021 | List of Timeslots: [11:30-12:00],true
Fri Oct 08 20:51:39 EDT 2021,Created room (205),CreateRoom,Room number: 205 | Date: 05-01-2021 | List of Timeslots: [12:00-12:30],true
Fri Oct 08 20:52:38 EDT 2021,Created room (201),CreateRoom,Room number: 201 | Date: 01-01-2021 | List of Timeslots: [9:30-10:00],true
Fri Oct 08 20:52:38 EDT 2021,Created room (202),CreateRoom,Room number: 202 | Date: 02-01-2021 | List of Timeslots: [10:30-11:00],true
